event,taxaGroup,rep,cpmE,CmnCpm,CRmlcd
SJR1,FlagSm,1,5.888241182,33.96967237,43.44766347
SJR1,FlagSm,2,29.31456039,33.96967237,3.653890119
SJR1,FlagSm,3,60.39104383,33.96967237,-14.26444758
SJR1,Other,1,60.32844234,41.95106545,-9.006808598
SJR1,Other,2,72.0539003,41.95106545,-13.41007588
SJR1,Other,3,35.62283191,41.95106545,4.053860257
SJR2,CenDiaLg,1,1.917252147,5.16048495,24.54716059
SJR2,CenDiaLg,2,1.330638893,5.16048495,33.60191496
SJR2,CenDiaLg,3,0.502674352,5.16048495,57.7359065
SJR2,CenDiaSm,1,18.1108509,33.24360796,15.05724976
SJR2,CenDiaSm,2,20.31193326,33.24360796,12.21371246
SJR2,CenDiaSm,3,11.00898375,33.24360796,27.39853181
SJR2,CilLg,1,1.005464481,6.756936015,47.23109827
SJR2,CilLg,2,2.04570185,6.756936015,29.62179242
SJR2,CilLg,3,2.093784079,6.756936015,29.04583095
SJR2,CilSm,1,3.5389019,8.15610156,20.69979771
SJR2,CilSm,2,2.072646251,8.15610156,33.9630991
SJR2,CilSm,3,1.86945007,8.15610156,36.52114952
SJR2,FlagSm,1,64.11657559,77.73510821,4.77497611
SJR2,FlagSm,2,42.9037774,77.73510821,14.73485581
SJR2,FlagSm,3,27.50584203,77.73510821,25.75627518
SJR2,Other,1,24.02498048,32.39322952,7.409120807
SJR2,Other,2,23.73594487,32.39322952,7.709188784
SJR2,Other,3,14.1226567,32.39322952,20.58127486
WLD2,CenDiaLg,1,0.127356088,0.746755705,43.85028753
WLD2,CenDiaLg,2,0.176600442,0.746755705,35.74582264
WLD2,CenDiaLg,3,0.214919266,0.746755705,30.8774171
WLD2,CenDiaSm,1,2.681180792,3.276832242,4.973701296
WLD2,CenDiaSm,2,3.253166028,3.276832242,0.179702179
WLD2,CenDiaSm,3,9.24152842,3.276832242,-25.70474647
WLD2,CilLg,1,1.443368993,6.967049874,39.02733706
WLD2,CilLg,2,0.750551876,6.967049874,55.23926407
WLD2,CilLg,3,1.306709135,6.967049874,41.49331689
WLD2,CilSm,1,9.160701039,22.18753277,21.93090259
WLD2,CilSm,2,6.041594051,22.18753277,32.25055323
WLD2,CilSm,3,11.21663647,22.18753277,16.91120079
WLD2,FlagSm,1,200.5140207,156.9065502,-6.079753783
WLD2,FlagSm,2,129.4959252,156.9065502,4.760024578
WLD2,FlagSm,3,166.5863107,156.9065502,-1.48410729
WLD2,Other,1,180.1019359,148.2579399,-4.823699888
WLD2,Other,2,140.9620077,148.2579399,1.251066566
WLD2,Other,3,174.1027197,148.2579399,-3.983819383
YBP1,CenDiaLg,1,0.922726168,1.480967801,11.72939761
YBP1,CenDiaLg,2,0,1.480967801,
YBP1,CenDiaLg,3,0.207490404,1.480967801,48.72469831
YBP1,CenDiaSm,1,4.185151084,5.118771384,4.992338615
YBP1,CenDiaSm,2,3.554440437,5.118771384,9.04193726
YBP1,CenDiaSm,3,4.564788879,5.118771384,2.839691573
YBP1,CilLg,1,2.134427053,9.017946905,35.72524885
YBP1,CilLg,2,3.336992316,9.017946905,24.64655596
